WeekBeginning,Location,DateOfSample,NoOfSamples
2021-07-05,Belfast (LT/ASP/PSP),2021-07-05,4
2021-07-05,Larne (LT/ASP/PSP),2021-07-06,1
2021-07-05,Dundrum N (LT/ASP/PSP),2021-07-06,2
2021-07-05,Killough (LT/ASP/PSP),2021-07-06,1
2021-07-05,Paddy's Point (LT),2021-07-06,1
2021-07-05,Skate Rock (LT),2021-07-06,1
2021-07-12,Belfast (ASP) ,2021-07-14,4
2021-07-12,Dundrum N (ASP),2021-07-14,2
2021-07-12,Killough (LT),2021-07-14,1
2021-07-12,Paddy's Point (LT),2021-07-14,1
2021-07-12,Skate Rock (LT),2021-07-14,1
2021-07-12,Larne (LT),2021-07-14,1
2021-07-12,Carlingford (LT/ASP/PSP),2021-07-14,4
2021-07-19,Belfast (LT/ASP),2021-07-19,4
2021-07-19,Killough (LT),2021-07-20,1
2021-07-19,Paddy's Point (LT/ASP/PSP),2021-07-20,1
2021-07-19,Skate Rock (LT/ASP/PSP),2021-07-20,1
2021-07-19,Dundrum N (LT/ASP),2021-07-20,2
2021-07-19,Larne (LT),2021-07-20,1
2021-07-26,Dundrum N (ASP),2021-07-26,2
2021-07-26,Killough (LT),2021-07-26,1
2021-07-26,Belfast (ASP) ,2021-07-26,4
2021-07-26,Skate Rock (LT),2021-07-27,1
2021-07-26,Paddy's Point (LT),2021-07-27,1
2021-07-26,Larne (LT),2021-07-27,1
2021-07-26,Carlingford (LT/ASP/PSP),2021-07-28,3
2021-08-02,Dundrum N (LT/ASP/PSP),2021-08-02,2
2021-08-02,Belfast (LT/ASP/PSP),2021-08-02,4
2021-08-02,Paddy's Point (LT),2021-08-03,1
2021-08-02,Skate Rock (LT),2021-08-03,1
2021-08-02,Larne (LT/ASP/PSP),2021-08-03,1
2021-08-09,Belfast (LT),2021-08-09,4
2021-08-09,Killough (LT/ASP/PSP),2021-08-10,1
2021-08-09,Paddy's Point (LT),2021-08-10,1
2021-08-09,Skate Rock (LT),2021-08-10,1
2021-08-09,Larne (LT),2021-08-10,1
2021-08-09,Dundrum N (LT),2021-08-10,2
2021-08-09,Carlingford (LT/ASP/PSP),2021-08-11,4
2021-08-16,Dundrum N (LT),2021-08-16,2
2021-08-16,Paddy's Point (LT/ASP/PSP),2021-08-16,1
2021-08-16,Belfast (LT),2021-08-16,4
2021-08-16,Skate Rock (LT/ASP/PSP),2021-08-17,1
2021-08-16,Larne (LT),2021-08-17,1
2021-08-23,Belfast (LT),2021-08-23,4
2021-08-23,Paddy's Point (LT),2021-08-23,1
2021-08-23,Skate Rock (LT),2021-08-24,1
2021-08-23,Dundrum N (LT),2021-08-24,2
2021-08-23,Larne (LT),2021-08-24,1
2021-08-23,Carlingford (LT/ASP/PSP),2021-08-24,3
2021-08-30,Dundrum N (LT),2021-08-31,2
2021-08-30,Belfast (LT/ASP/PSP),2021-08-31,4
2021-08-30,Skate Rock (LT),2021-09-01,1
2021-08-30,Paddy's Point (LT),2021-09-01,1
2021-08-30,Larne (LT/ASP/PSP),2021-09-01,1
2021-09-06,Paddy's Point (LT),2021-09-06,1
2021-09-06,Skate Rock (LT),2021-09-07,1
2021-09-06,Dundrum N (LT/ASP/PSP),2021-09-07,2
2021-09-06,Larne (LT),2021-09-07,1
2021-09-06,Carlingford (LT/ASP/PSP),2021-09-08,4
2021-09-13,Dundrum N (LT),2021-09-13,2
2021-09-13,Killough (LT/ASP/PSP),2021-09-13,1
2021-09-13,Paddy's Point (LT/ASP/PSP),2021-09-14,1
2021-09-13,Skate Rock (LT/ASP/PSP),2021-09-14,1
2021-09-13,Larne (LT),2021-09-14,1
2021-09-20,Skate Rock (LT),2021-09-20,1
2021-09-20,Paddy's Point (LT),2021-09-21,1
2021-09-20,Dundrum N (LT),2021-09-21,2
2021-09-20,Larne (LT),2021-09-21,1
2021-09-20,Carlingford (LT/ASP/PSP),2021-09-21,3
2021-09-27,Dundrum N (LT),2021-09-27,2
2021-09-27,Paddy's Point (LT),2021-09-27,1
2021-09-27,Belfast (LT/ASP/PSP),2021-09-27,4
2021-09-27,Skate Rock (LT),2021-09-28,1
2021-09-27,Larne (LT/ASP/PSP),2021-09-28,1
