WeekBeginning,Location,DateOfSample,NoOfSamples
2021-04-05,Larne (LT/PSP/ASP),2021-04-07,1
2021-04-05,Skate Rock (LT),2021-04-07,1
2021-04-05,Foyle (LT/PSP/ASP),2021-04-08,4
2021-04-05,Paddy's Point (LT),2021-04-08,1
2021-04-12,Belfast (LT/PSP/ASP),2021-04-12,4
2021-04-12,Carlingford (LT/PSP/ASP),2021-04-13,3
2021-04-12,Larne (LT),2021-04-13,1
2021-04-12,Paddy's Point (LT),2021-04-13,1
2021-04-12,Skate Rock (LT),2021-04-13,1
2021-04-12,Dundrum North (LT/PSP/ASP),2021-04-14,2
2021-04-12,Killough (LT/PSP/ASP),2021-04-14,1
2021-04-19,Dundrum North (LT),2021-04-19,2
2021-04-19,Paddy's Point (LT),2021-04-19,1
2021-04-19,Skate Rock (LT),2021-04-19,1
2021-04-19,Larne (LT),2021-04-20,1
2021-04-26,Belfast (LT),2021-04-26,4
2021-04-26,Paddy's Point (LT/PSP/ASP),2021-04-26,1
2021-04-26,Carlingford (LT/PSP/ASP),2021-04-27,4
2021-04-26,Dundrum North (LT),2021-04-27,2
2021-04-26,Larne (LT),2021-04-27,1
2021-04-26,Skate Rock (LT/PSP/ASP),2021-04-27,1
2021-05-03,Belfast (LT/PSP/ASP),2021-05-04,4
2021-05-03,Paddy's Point (LT),2021-05-04,1
2021-05-03,Skate Rock (LT),2021-05-04,1
2021-05-03,Foyle (LT/PSP/ASP),2021-05-05,4
2021-05-03,Larne (LT/PSP/ASP),2021-05-05,1
2021-05-10,Paddy's Point (LT),2021-05-10,1
2021-05-10,Skate Rock (LT),2021-05-11,1
2021-05-10,Carlingford (LT/PSP/ASP),2021-05-12,3
2021-05-17,Dundrum North (LT/PSP/ASP),2021-05-17,2
2021-05-17,Killough (LT/PSP/ASP),2021-05-17,1
2021-05-17,Paddy's Point (LT),2021-05-17,1
2021-05-17,Skate Rock (LT),2021-05-17,1
2021-05-17,Larne (LT),2021-05-18,1
2021-05-24,Carlingford (LT/PSP/ASP),2021-05-25,4
2021-05-24,Paddy's Point (LT/PSP/ASP),2021-05-25,1
2021-05-24,Skate Rock (LT/PSP/ASP),2021-05-25,1
2021-05-31,Dundrum North (LT/PSP/ASP),2021-06-01,2
2021-05-31,Paddy's Point (LT),2021-06-01,1
2021-05-31,Skate Rock (LT),2021-06-01,1
2021-05-31,Foyle (LT/PSP/ASP),2021-06-02,4
2021-06-07,Belfast (LT/PSP/ASP),2021-06-07,4
2021-06-07,Larne (LT/PSP/ASP),2021-06-08,1
2021-06-07,Paddy's Point (LT),2021-06-08,1
2021-06-07,Skate Rock (LT),2021-06-08,1
2021-06-14,Dundrum North (LT),2021-06-14,2
2021-06-14,Killough (LT/PSP/ASP),2021-06-14,1
2021-06-14,Paddy's Point (LT),2021-06-14,1
2021-06-14,Skate Rock (LT),2021-06-14,1
2021-06-14,Carlingford (LT/PSP/ASP),2021-06-15,4
2021-06-14,Larne (LT),2021-06-15,1
2021-06-21,Belfast (LT/PSP),2021-06-21,4
2021-06-21,Larne (LT),2021-06-22,1
2021-06-21,Paddy's Point (LT/PSP/ASP),2021-06-22,1
2021-06-21,Skate Rock (LT/PSP/ASP),2021-06-22,1
2021-06-21,Carlingford (LT/PSP/ASP),2021-06-23,3
2021-06-28,Paddy's Point (LT),2021-06-28,1
2021-06-28,Skate Rock (LT),2021-06-28,1
2021-06-28,Dundrum North (LT),2021-06-29,2
2021-06-28,Larne (LT),2021-06-29,1
